,date,HUFL,HULL,MUFL,MULL,LUFL,LULL,OT
4417,2017-01-01 01:00:00,13.79800034,1.674000025,9.984999657,0.035999998,4.263999939,1.218000054,10.06000042
4418,2017-01-01 02:00:00,13.59700012,1.406999946,9.097000122,-0.142000005,4.142000198,1.097000003,9.918999672
4419,2017-01-01 03:00:00,13.19499969,1.942000031,9.31000042,-0.497000009,4.234000206,1.248999953,9.215000153
4420,2017-01-01 04:00:00,14.46800041,2.075999975,10.16300011,-0.142000005,4.507999897,1.401000023,10.13000011
4421,2017-01-01 05:00:00,13.59700012,1.674000025,9.204000473,-0.816999972,4.690999985,1.371000051,9.777999878
4422,2017-01-01 06:00:00,14.60200024,1.20599997,9.026000023,-1.279000044,5.269000053,1.401000023,10.13000011
4423,2017-01-01 07:00:00,14.66899967,1.072000027,8.706000328,-0.782000005,5.177999973,1.248999953,11.32600021
4424,2017-01-01 08:00:00,11.45400047,1.004999995,8.102000237,-0.888000011,3.686000109,1.036000013,10.13000011
4425,2017-01-01 09:00:00,8.23900032,0.40200001,4.584000111,-1.77699995,3.075999975,1.401000023,10.27099991
4426,2017-01-01 10:00:00,7.301000118,0.670000017,4.370999813,-0.782000005,2.984999895,1.523000002,9.98900032
4427,2017-01-01 11:00:00,7.971000195,0.670000017,4.122000217,-1.243999958,3.594000101,1.462000012,12.02900028
4428,2017-01-01 12:00:00,3.951999903,-0.870999992,1.421000004,-2.415999889,2.740999937,1.371000051,11.88899994
4429,2017-01-01 13:00:00,4.354000092,0.0,1.77699995,-2.131999969,2.680000067,1.340000033,14.63199997
4430,2017-01-01 14:00:00,5.223999977,0.134000003,2.167999983,-1.741000056,2.618999958,1.340000033,16.67200089
4431,2017-01-01 15:00:00,6.631000042,0.0,4.65500021,-1.136999965,2.497999907,1.218000054,15.47599983
4432,2017-01-01 16:00:00,7.568999767,-0.736999989,5.578999996,-2.415999889,2.467000008,1.036000013,13.50699997
4433,2017-01-01 17:00:00,9.31000042,-1.273000002,6.147999763,-2.878000021,3.107000113,0.913999975,13.22500038
4434,2017-01-01 18:00:00,9.175999641,-1.340000033,6.147999763,-2.559000015,3.137000084,0.760999978,12.7329998
4435,2017-01-01 19:00:00,9.376999855,-1.60800004,6.005000114,-3.019999981,3.319999933,0.913999975,12.52200031
4436,2017-01-01 20:00:00,8.975000381,-1.541000009,5.934000015,-2.806999922,2.954999924,0.791999996,12.6619997
4437,2017-01-01 21:00:00,7.769999981,-1.875,5.188000202,-2.842999935,2.467000008,0.639999986,14.14000034
4438,2017-01-01 22:00:00,7.568999767,-0.469000012,5.650000095,-2.273999929,2.00999999,0.518000007,14.21000004
4439,2017-01-01 23:00:00,7.568999767,-0.469000012,5.862999916,-1.84800005,1.76699996,0.518000007,13.71800041
5160,2017-01-02 00:00:00,9.578000069,-1.541000009,6.822999954,-2.486999989,2.832999945,0.456999987,4.854000092
5161,2017-01-02 01:00:00,8.171999931,-1.741000056,5.791999817,-2.630000114,2.315000057,0.456999987,4.361999989
5162,2017-01-02 02:00:00,6.96600008,-1.875,5.010000229,-2.700999975,1.949000001,0.425999999,5.416999817
5163,2017-01-02 03:00:00,6.429999828,-2.009000063,4.584000111,-2.806999922,1.76699996,0.335000008,4.290999889
5164,2017-01-02 04:00:00,6.162000179,-2.075999975,4.477000237,-2.806999922,1.70599997,0.335000008,4.78399992
5165,2017-01-02 05:00:00,6.296000004,-1.942000031,4.441999912,-2.806999922,1.85800004,0.365999997,4.923999786
5166,2017-01-02 06:00:00,6.631000042,-2.009000063,4.619999886,-2.736000061,1.980000019,0.365999997,5.135000229
5167,2017-01-02 07:00:00,7.903999805,-1.875,5.436999798,-2.736000061,2.437000036,0.425999999,4.150000095
5168,2017-01-02 08:00:00,11.31999969,-1.139000058,7.747000217,-2.273999929,3.532999992,0.456999987,5.276000023
